sample_id,actual_profit,scaled_profit,actual_step,scaled_step,actual_action,scaled_action,actual_position,scaled_position,actual_risk,scaled_risk,actual_activity,scaled_activity,actual_sharpe,scaled_sharpe,total_reward,action_type,action_amount,shares_held,balance,net_worth,current_price
1,0.0,0.0,3e-07,4.4999999999999966e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029505794568926,0.2303318551049871,0.2976503653373258,0,100000.0,100000.0,340.965
2,0.0,0.0,3.5e-07,5.2499999999999954e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021838015981443,0.2824332717303286,0.5394893515961413,0,100000.0,100000.0,340.99
3,0.0,0.0,4.0000000000000003e-07,5.999999999999993e-08,0.01,0.0009999996666668,-0.00038220405,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,0.0,0.0,-0.0019607144990904,0.5805796645884513,0.8406091366234112,246,16177.9609375,100000.0,340.74
4,-0.00056578126,0.0,4.5e-07,6.749999999999988e-08,0.01,0.0009999996666668,-0.0007511067,0.0,0.0,0.0,-0.001,-9.999999966666668e-05,-0.7071065306663513,0.0,-0.0065226878302129,0.731370197235585,0.2331883859170012,257,12432.3505859375,99943.42,340.51
5,-0.00017992187,0.0,5e-07,7.499999999999985e-08,0.0,0.0,-0.00074930786,0.0,0.0,0.0,0.0,0.0,-0.8071163296699524,0.0,-0.0009795370017514,0.2456174477598383,0.750850433949351,257,12432.3505859375,99925.43,340.44
6,7.710938e-05,1.927734410855919e-05,5.5e-07,8.249999999999983e-08,0.0,0.0,-0.0007500785,0.0,0.0,0.0,0.0,0.0,-0.5764800310134888,0.0,0.0004332738676649,-0.0818550055738513,0.2887834139875157,257,12432.3505859375,99933.14,340.47
7,0.000115625,2.890625000873115e-05,6e-07,8.999999999999977e-08,0.01,0.0009999996666668,0.0031327382,0.0001566369173815,0.0,0.0,-0.001,-9.999999966666668e-05,-0.3984853029251098,0.0,-0.0055384478328679,-0.8933642654775227,0.8015968405403578,-184,162599.46875,99944.7,340.515
8,7.359375e-05,1.839843753259629e-05,6.5e-07,9.749999999999969e-08,0.01,0.0009999996666668,-0.001873775,0.0,-0.0017475509084761,-8.737754978938028e-05,-0.001,-9.999999966666668e-05,-0.3086658120155334,0.0,4.341901568594882e-05,-0.6353362167017691,0.9679960027209792,-290,198689.8125,99952.06,340.475
9,-0.00015953125,0.0,7e-07,1.049999999999996e-07,0.0,0.0,-0.0018753702,0.0,-0.0017507409211248,-8.75370460562408e-05,0.0,0.0,-0.3808808922767639,0.0,-0.0030420335813864,0.2788277506559267,0.9037705970486096,-290,198689.8125,99936.11,340.53
10,8.703125e-05,2.1757812646683306e-05,7.5e-07,1.1249999999999953e-07,0.01,0.0009999996666668,-0.0019766497,0.0,-0.001953300088644,-9.76650044322014e-05,-0.001,-9.999999966666668e-05,-0.2997726798057556,0.0,-0.0128302742914349,-0.6458884746400151,0.9290856055941876,-293,199711.3125,99944.81,340.5
11,-0.0001171875,0.0,8.000000000000001e-07,1.1999999999999946e-07,-0.005,0.0,-0.0019778216,0.0,-0.001955643761903,-9.778219100553542e-05,-0.001,-9.999999966666668e-05,-0.3645149767398834,0.0,-0.0203596312089509,-0.5251974389828253,0.3646604209483714,-293,199711.3125,99933.09,340.54
12,-1.46875e-05,0.0,8.5e-07,1.274999999999993e-07,-0.005,0.0,-0.0019779687,0.0,-0.0019559382926672,-9.779691754374652e-05,-0.001,-9.999999966666668e-05,-0.3735178709030151,0.0,-0.0199515909293698,-0.9058146208069756,0.982864893762198,-293,199711.3125,99931.625,340.545
13,4.3984375e-05,1.0996093806170393e-05,9e-07,1.3499999999999918e-07,0.0,0.0,-0.001977529,0.0,-0.0019550584256649,-9.775291982805356e-05,0.0,0.0,-0.0759088024497032,0.0,-0.0156240933786761,-0.1080006213675612,0.175484647642216,-293,199711.3125,99936.02,340.53
14,-1.46875e-05,0.0,9.5e-07,1.4249999999999906e-07,0.0,0.0,-0.0019776756,0.0,-0.0019553517922759,-9.776758815860376e-05,0.0,0.0,0.1126916632056236,0.02253451757133,-0.0155493071821702,-0.0832434781467701,0.6938565338544562,-293,199711.3125,99934.555,340.535
